
KMD VirtualArray (VA) Functions (Testdriver), Version 0.1.0
MOD[va.c] VER[0.1.0 Pre] DAT[92/07/10] DEV[ad dec]
Copyright (c) KommuneData I/S 1992

Creating VA-file[./VA/va.key] :
Opening VA-file[va.key], mode[RO] :
	Read  VA-header: dwArSize[9999], dwArUsed[5003], wArElSize[8], cFill[ ]

Index Keyrecords:	Size=[9999],	Used=[5003]

Index Loadfactor:	Load=[50]

Accessing 10000 elements...
	NOTFOUND  :	Array[ 509] = 18446744073709551615
	ACCESSING :	Array[ 510] =  510
	NOTFOUND  :	Array[ 511] = 18446744073709551615
	ACCESSING :	Array[ 512] =  512
	NOTFOUND  :	Array[ 513] = 18446744073709551615
	ACCESSING :	Array[ 514] =  514
	NOTFOUND  :	Array[ 515] = 18446744073709551615
	ACCESSING :	Array[ 516] =  516
	NOTFOUND  :	Array[ 517] = 18446744073709551615
	ACCESSING :	Array[ 518] =  518
	NOTFOUND  :	Array[ 519] = 18446744073709551615
	ACCESSING :	Array[ 520] =  520
	NOTFOUND  :	Array[ 521] = 18446744073709551615
	ACCESSING :	Array[ 522] =  522
	NOTFOUND  :	Array[ 523] = 18446744073709551615
	ACCESSING :	Array[ 524] =  524
	NOTFOUND  :	Array[ 525] = 18446744073709551615
	ACCESSING :	Array[ 526] =  526
	NOTFOUND  :	Array[ 527] = 18446744073709551615
	ACCESSING :	Array[ 528] =  528
	NOTFOUND  :	Array[ 529] = 18446744073709551615
	ACCESSING :	Array[ 530] =  530
	NOTFOUND  :	Array[ 531] = 18446744073709551615
	ACCESSING :	Array[ 532] =  532
	NOTFOUND  :	Array[ 533] = 18446744073709551615
	ACCESSING :	Array[ 534] =  534
	NOTFOUND  :	Array[ 535] = 18446744073709551615
	ACCESSING :	Array[ 536] =  536
	NOTFOUND  :	Array[ 537] = 18446744073709551615
	ACCESSING :	Array[ 538] =  538
	NOTFOUND  :	Array[ 539] = 18446744073709551615
	ACCESSING :	Array[ 540] =  540
	NOTFOUND  :	Array[ 541] = 18446744073709551615
	ACCESSING :	Array[ 542] =  542
	NOTFOUND  :	Array[ 543] = 18446744073709551615
	ACCESSING :	Array[ 544] =  544
	NOTFOUND  :	Array[ 545] = 18446744073709551615
	ACCESSING :	Array[ 546] =  546
	NOTFOUND  :	Array[ 547] = 18446744073709551615
	ACCESSING :	Array[ 548] =  548
	NOTFOUND  :	Array[ 549] = 18446744073709551615
	ACCESSING :	Array[ 550] =  550
	NOTFOUND  :	Array[ 551] = 18446744073709551615
	ACCESSING :	Array[ 552] =  552
